RNQA,CORPODAGUA,PERIODO,PARAMETRO,N_VALIDO,MEDIA,MEDIANA,DESVIO_PADRAO,MINIMO,MAXIMO
MA-7181-I-1,RIO ITAPECURU,7.0,OXIGENIO_DISSOLVIDO,1,6.48,6.48,,6.48,6.48
MA-7181-I-1,RIO ITAPECURU,8.0,OXIGENIO_DISSOLVIDO,2,8.51,8.51,0.2262741699796954,8.35,8.67
MA-7181-I-1,RIO ITAPECURU,9.0,OXIGENIO_DISSOLVIDO,2,7.715,7.715,0.1767766952966369,7.59,7.84
MA-7181-I-1,RIO ITAPECURU,10.0,OXIGENIO_DISSOLVIDO,2,6.585,6.585,1.435426765808691,5.57,7.6
MA-7181-I-1,RIO ITAPECURU,,OXIGENIO_DISSOLVIDO,2,6.955,6.955,0.7424621202458754,6.43,7.48
MA-7181-I-2,RIO ITAPECURU,1.0,OXIGENIO_DISSOLVIDO,1,6.32,6.32,,6.32,6.32
MA-7181-I-2,RIO ITAPECURU,2.0,OXIGENIO_DISSOLVIDO,2,6.855,6.855,0.770746391493337,6.31,7.4
MA-7181-I-2,RIO ITAPECURU,3.0,OXIGENIO_DISSOLVIDO,2,6.050000000000001,6.050000000000001,0.1414213562373093,5.95,6.15
MA-7181-I-2,RIO ITAPECURU,4.0,OXIGENIO_DISSOLVIDO,2,6.705,6.705,1.4778531726798843,5.66,7.75
MA-7181-I-2,RIO ITAPECURU,5.0,OXIGENIO_DISSOLVIDO,2,6.95,6.95,0.0424264068711932,6.92,6.98
MA-7181-I-2,RIO ITAPECURU,6.0,OXIGENIO_DISSOLVIDO,1,5.1,5.1,,5.1,5.1
MA-7181-I-2,RIO ITAPECURU,7.0,OXIGENIO_DISSOLVIDO,2,6.585,6.585,0.6717514421272196,6.11,7.06
MA-7181-I-2,RIO ITAPECURU,8.0,OXIGENIO_DISSOLVIDO,2,7.575,7.575,1.5485638507985389,6.48,8.67
MA-7181-I-2,RIO ITAPECURU,9.0,OXIGENIO_DISSOLVIDO,2,8.280000000000001,8.280000000000001,0.5232590180780446,7.91,8.65
MA-7181-I-2,RIO ITAPECURU,10.0,OXIGENIO_DISSOLVIDO,1,7.43,7.43,,7.43,7.43
MA-7181-I-2,RIO ITAPECURU,,OXIGENIO_DISSOLVIDO,2,6.25,6.25,1.3010764773832473,5.33,7.17
MA-7181-I-3,RIO ITAPECURU,1.0,OXIGENIO_DISSOLVIDO,1,7.29,7.29,,7.29,7.29
MA-7181-I-3,RIO ITAPECURU,2.0,OXIGENIO_DISSOLVIDO,2,7.15,7.15,2.107178207935912,5.66,8.64
MA-7181-I-3,RIO ITAPECURU,3.0,OXIGENIO_DISSOLVIDO,2,7.290000000000001,7.290000000000001,1.4283556979968266,6.28,8.3
MA-7181-I-3,RIO ITAPECURU,4.0,OXIGENIO_DISSOLVIDO,2,7.15,7.15,0.49497474683058307,6.8,7.5
MA-7181-I-3,RIO ITAPECURU,5.0,OXIGENIO_DISSOLVIDO,2,7.465,7.465,0.16263455967290624,7.35,7.58
MA-7181-I-3,RIO ITAPECURU,6.0,OXIGENIO_DISSOLVIDO,1,5.35,5.35,,5.35,5.35
MA-7181-I-3,RIO ITAPECURU,7.0,OXIGENIO_DISSOLVIDO,2,6.48,6.48,0.28284271247461895,6.28,6.68
MA-7181-I-3,RIO ITAPECURU,8.0,OXIGENIO_DISSOLVIDO,2,8.475,8.475,0.30405591591021525,8.26,8.69
MA-7181-I-3,RIO ITAPECURU,9.0,OXIGENIO_DISSOLVIDO,2,7.635,7.635,0.5303300858899106,7.26,8.01
MA-7181-I-3,RIO ITAPECURU,10.0,OXIGENIO_DISSOLVIDO,2,6.635,6.635,1.1950104602052658,5.79,7.48
MA-7181-I-3,RIO ITAPECURU,,OXIGENIO_DISSOLVIDO,2,6.779999999999999,6.779999999999999,1.3293607486307095,5.84,7.72
MA-7181-I-4,RIO ITAPECURU,4.0,OXIGENIO_DISSOLVIDO,2,6.4,6.4,1.1172287142747452,5.61,7.19
MA-7181-I-4,RIO ITAPECURU,5.0,OXIGENIO_DISSOLVIDO,2,7.255,7.255,0.6434671708797584,6.8,7.71
